site.id,state.country,site,project,lat,lon,elevation,mat,map,treatments,technique,season,biome,sub.biome,species,soil.type,soil.texture.class,perc.sand,perc.silt,perc.clay,start.date,C.pool.abg,C.pool.bwg,N.pool.abg,N.pool.bwg,P.pool.bwg,soil.depth.pool,Ndep.rate,bulk.density,pH,percent.om,source,notes,Reference
Ginnindera.infrequentCutting.asymmetricT,Australia,Ginnindera Experimental Station; Canberra,,-35.37,149.22,610,,,T x co2,Temperature Gradient Tunnels & FACE,,grassland,temperate grassland,Phalaris aquatica,,,,,15,1-Aug,,,,,,,,,6.5,3.58,,end date: 5/20/2003; asymmetric warming (daytime and nighttime differ in degree of warming),Volder et al. 2004 (New Phytologist)
Ginnindera.infrequentCutting.constantT,Australia,Ginnindera Experimental Station; Canberra,,-35.37,149.22,610,,,T x co2,Temperature Gradient Tunnels & FACE,,grassland,temperate grassland,Phalaris aquatica,,,,,15,1-Aug,,,,,,,,,6.5,3.58,,end date: 5/20/2003; constant warming,Volder et al. 2004 (New Phytologist)
Ginnindera.phalaris,Australia,Ginnindera Experimental Station; Canberra,,-35.37,149.22,610,,,T x co2,Temperature Gradient Tunnels & FACE,,grassland,temperate grassland,Phalaris aquatica,,,,,15,Dec-95,,,,,,,,,6.5,3.58,,,Lilley et al. 2001
Ginnindera.clover,Australia,Ginnindera Experimental Station; Canberra,,-35.37,149.22,610,,,T x co2,Temperature Gradient Tunnels & FACE,,grassland,temperate grassland,Trifolium subterraneum,,,,,15,Dec-95,,,,,,,,,6.5,3.58,,,Lilley et al. 2001
Ginnindera.mixed,Australia,Ginnindera Experimental Station; Canberra,,-35.37,149.22,610,,,T x co2,Temperature Gradient Tunnels & FACE,,grassland,temperate grassland,Phalaris aquatica and Trifolium subterraneum,,,,,15,Dec-95,,,,,,,,,6.5,3.58,,,Lilley et al. 2001
Greenland,Greenland,Pituffik Peninsula,,76.6,-68.6,180,-11.6,122,T x h2o,IR heaters,,tundra,dwarf shrub/herb tundra,Salix arctica; Carex rupestris; and Dryas integrifolia,turbic cryosols (FAO),,70.5,23,6.5,"varies (2003 for H2O, 2004 for T)",,1950,,,,,,1.7,,,,C pool belowground based on SOC content that varies b/w 1.4 and 2.5 kg/m2,
Haibei.1,China,Qinghai-Tibet Plateau; Tibet,Haibei Alpine Grassland Ecosystem Research Station,37.6,101.3,3215,-1.7,561,T x grazing,IR heaters,,grassland,alpine meadow,Kobresia humilis; Festuca ovina; Elymus nutans; Poa pratensis; Carex scabrirostris; Scripus distigmaticus; Gentiana straminea; Gentiana ferreri,Mat-Gryic Cambisol,,,,,6-May,,,,,,,,,,5.75,,,Jing et al. 2013; % om from Fu et al. 2012
Harvard.1,Massachusetts,Prospect Hill - Harvard Forest,Harvard Forest LTER,42.54,-72.18,340,7,1080,T,heating cables,yearround,forest,deciduous forest,Quercus rubra; Quercus velutina; Acer rubrum; Acer pensylvanicum; Fagus grandifolia; Betula papyrifera; Castanea dentata,Typic Dystrochrepts,coarse loamy over sandy,,,,Apr-91,,7040,,,,,,0.64,4.85,,,pH is from sub-surface soil (organic layer has bd of 0.37 g/cm3); C stock is from 0-16 (includes O-horizon; 0-8) and A horizon 9-16 cm (Gaudinsky),
Harvard.2,Massachusetts,Barre Woods,Harvard Forest LTER,42.48,-71.18,,7,1080,T,heating cables,yearround,forest,deciduous forest,,,,,,,3-Apr,,,,,,,,0.78,5.5,,,pH is from sub-surface soil,
Harvard.3,Massachusetts,Frey-Harvard Forest,Harvard Forest LTER,42.5,-72.18,,7,1100,T x N,heating cables,yearround,forest,deciduous forest,Quercus rubra; Quercus velutina; Acer rubrum; Acer pensylvanicum; Fagus grandifolia; Betula papyrifera; Castanea dentata,Typic Dystrochrepts,fine loam,,,,6-Aug,,,,,,,0.66,,,,,,Contosta et al. 2011 (Ecosphere)
HoCC.roof,Germany,Hohenheim Climate Change (HoCC); Heidfeldhof experimental station; University of Hohenheim,,48.71,9.19,395,8.7,679,T x h2o/D x  freq,,,crop,crop rotation,Triticum aestivum; Hordeum vulgare; and Brassica napus,stagnic Luvisol,silty loam,,,,8-Jul,,,,,,,,,,2.69,,1.21% C; assuming 45 % of OM is C;H2O/D = supplemental water in one season and drought in a different season,Poll et al. 2013
HoCC.noRoof,Germany,Hohenheim Climate Change (HoCC); Heidfeldhof experimental station; University of Hohenheim,,48.71,9.19,395,8.7,679,T x h2o/D x  freq,,,crop,crop rotation,Triticum aestivum; Hordeum vulgare; and Brassica napus,stagnic Luvisol,silty loam,,,,8-Jul,,,,,,,,,,2.69,,1.21% C; assuming 45 % of OM is C;H2O/D = supplemental water in one season and drought in a different season,Poll et al. 2013
Hokkaido.Tomakomai,Japan,Tomakomai Experimental Forest; Hokkaido University,,42.7,141.6,80,6.3,1450,T,heating cables,,forest,mixed deciduous,Quercus crispula; Ostrya japonica; Acer mono; Cercidiphyllum japonicum; Tilia japonica,,,,,,2007,,,,,,,,,,,map and mat from website; tree species from Nakamura et al. 2010,,Ueda et al. 2013; Noh et al. 2016 (Ecosystems)
Hokkaido.Teshio,Japan,Teshio Experimental Forest,,44.92,142.02,20,,,,IR heaters inside chambers,snowfree period (May - Nov),forest,temperate forest plantation (since 1970s),Abies sachalinensis; Picea jezoensis; Quercus crispula; Betula ermanii; Betula platyphylla; Acer pictum,,,,,,7-Aug,,17600,,,,0-30,,,,13.26666667,,thick organic layer; % om is for 0-20 cm,Aguilos et al. 2013 (Tellus)
India.Cuttack,India,Experimental farm of the Central Rice Research Institute,,20.45,85.94,24,,1500,T x co2,OTC with face; and OTC with IR heater,growing season,crop,rice,,Aeric Endoaquept,,52.5,21.6,25.9,11-Jul,,,,,,,,1.4,,1.7,,0.77% C; assuming 45 % of OM is C,Bhattacharyya et al. 2013
Japan.RiceFACE,Japan,Shizukuishi; Iwate,,39.63,140.95,200,,1200,T x co2,FACE and heating wires,growing season for both CO2 and T (and CO2 during day only),crop,rice,Oryza sativa,Andosol,,,,,7-May,,,,,,,,0.7,,17.3,,elevated CO2 on during daytime only,Tokida et al. 2010
Jasper,California,San Francisco Bay area,Jasper Ridge Global Change Experiment (JRGCE),37.4,-122.23,150,14,652,T x co2 x N x h2o,IR heaters; face; spray emitters (H2O); and CaNO3,,grassland,mediterranean grassland,Avena barbata; Avena fatua,,,37,48,15,Nov-98,,,,,,,,,6.8,3.1,,Start date from Zavaleta et al. 2003; MAT and elevation from Blankinship et al. 2010,Liang & Balser 2012; Gutknecht et al (GCB)
Jura.dry,France,Le Forbonnet peatland,ITEX,46.8,6.17,840,6.5,1200,,,,wetland,sphagnum bog next to fen.,Sphagnum magellanicum; Vaccinium oxycoccus; Eriophorum vaginatum; Calluna vulgaris,,,,,,,,,,,,,,,,,,"""DRY"" site",Delarue et al. 2011
Jura.wet,France,Le Forbonnet peatland,ITEX,46.8,6.17,840,6.5,1200,,,,wetland,ombrotrophic peat,Sphagnum fallax; eriophorum vaginatum; Vaccinium oxycoccus; andromeda polifolia,,,,,,,,,,,,,,,,,,"""WET"" site",Delarue et al. 2011
Kessler,Oklahoma,Kessler Farm Field Laboratories,,34.98,-97.52,,16.3,914,T x clipping,IR heaters,yearround,grassland,tall grass prairie,(C4 grasses:) Schizachyrium scoparium; Sorghastrum nutans; Eragrostis spp; (C3 forbs:) Ambrosia psilostachyia; Xanthocephalum texanum) ,,silt loam,35.3,55,9.7,Nov-99,,,,,,,,1.2,neutral,1.9,,,Zhang et al. 2005 (global change biology)
Kessler.EcoCELL,Oklahoma,Kessler Farm Field Laboratories,EcoCELL,34.98,-97.52,,16.3,914,T x clipping,IR heaters,yearround,grassland,tall grass prairie,(C4 grasses:) Schizachyrium scoparium; Sorghastrum nutans; Eragrostis spp; (C3 forbs:) Ambrosia psilostachyia; Xanthocephalum texanum) ,,silt loam,35.3,55,9.7,3-Feb,,,,,,,,,,,,,Verburg et al. 2005 (GCB)
Kessler.newer,Oklahoma,Kessler Farm Field Laboratories,,34.98,-97.52,,16.3,914,T x clipping,IR heaters,yearround,grassland,tall grass prairie,(C4 grasses:) Schizachyrium scoparium; Sorghastrum nutans; Eragrostis spp; (C3 forbs:) Ambrosia psilostachyia; Xanthocephalum texanum) ,,silt loam,35.3,55,9.7,3-Feb,,,,,,,,,,,,experiment only ran 1-yr; starting 2/2003 until 2/2004; any data after is post-treatment,Sherry et al. 2008
Kessler.recent,Oklahoma,Kessler Farm Field Laboratories,,34.98,-97.52,,16.3,914,T x clipping,IR heaters,yearround,grassland,tall grass prairie,(C4 grasses:) Schizachyrium scoparium; Sorghastrum nutans; Eragrostis spp; (C3 forbs:) Ambrosia psilostachyia; Xanthocephalum texanum) ,,,51,35,13,9-Jul,,,,,,,,,,,,,Li et al. 2013 (GCB)
Kiskun,Hungary,Kiskun Sag; Keshkemet,INCREASE; VULCAN,46.87,19.42,,10.4,505,T,IR reflective curtains,nighttime,shrubland,continental forest steppe,,Calcaric arenosols (FAO),,,,,2001,,,,,,,,,8.1,2.7,,map is growing season (Apr-Sep) precipitation,Rousk et al. 2013; Lellei-Kovacs et al. 2008 (e.g. MAT: longitude - checked online too); SOM based on SOC data in Rousk et al. 2013
Lat.Heath,Sweden,Latnjajaure Field Station,ITEX,68.35,18.5,980,-2,848,T,OTC,,tundra,dry heath,mosses; lichens; Diapensia lapponica; Cassiope tetragona; Salix herbacea; Vaccinium vitis; Empetrum hermaphroditum; Calamagrostis lapponica,Pergelic Cryorthent,loamy sand,,,,May-93,,,,,,,,,3.7,14.3,,near Abisko; loamy sand; sparse vegetation cover,Bjork et al. 2007
Lat.Meadow,Sweden,Latnjajaure Field Station,ITEX,68.35,18.5,980,-2,848,T,OTC,,tundra,dry meadow,Dryas octopetala; Vaccinium vitis; Festuca ovina; Bistorta vivipara; Carex vaginata; Salix reticulata,,,,,,May-93,,,,,,,,,4.7,54.2,,near Abisko; loamy sand; denser vegetation cover than dry heath,Bjork et al. 2007
Maine,Maine,Howland Integrated Forest Study (HIFS),,45.17,-68.67,60,5.5,1000,T,heating cables,June-Nov,forest,spruce-fir forest,Picea rubens; Pinus strobus; Tsuga canadensis,,,,,,May-93,,,,,,,,,3.6,,,,Arnold et al. 1999 (Biol & Fertility of Soils)
Michigan.FFC,Michigan,Ford Forestry Center (FFC) of Michigan Technological University,,46.64,-88.48,400,4.9,879,T x h2o,IR heaters,Sept-Nov 2009; and April-Nov 2010,forest,northern hardwood forest,Acer saccharum; Ulmus americana; Tsuga canadensis; Ostrya virginiana; Betula alleghaniensis,,silt loam,,,,9-Sep,,,,,,,,,,,,,Jarvi & Nurton 2013
Minnesota.bog,Minnesota,bog sourced from Toivola,,47,-92,,,,T x h2o,mesocosm: IR heaters and altering water table level,,wetland,bog,moss; ericaceous shrubs; black spruce,,,,,,Jul-94,,,,,,,,,,,,,Weltzin et al. 2000 (Ecology)
Minnesota.bog.lowT,Minnesota,bog sourced from Toivola,,47,-92,,,,T x h2o,mesocosm: IR heaters and altering water table level,,wetland,bog,moss; ericaceous shrubs; black spruce,,,,,,Jul-94,,,,,,,,,,,,,Weltzin et al. 2000 (Ecology)
Minnesota.bog.highT,Minnesota,bog sourced from Toivola,,47,-92,,,,T x h2o,mesocosm: IR heaters and altering water table level,,wetland,bog,moss; ericaceous shrubs; black spruce,,,,,,Jul-94,,,,,,,,,,,,,Weltzin et al. 2000 (Ecology)
Minnesota.fen.lowT,Minnesota,fen sourced from Alborn,,47,-92,,,,T x h2o,mesocosm: IR heaters and altering water table level,,wetland,fen,Graminoids; some moss,,,,,,Jul-94,,,,,,,,,,,,,Weltzin et al. 2000 (Ecology)
Minnesota.fen.highT,Minnesota,fen sourced from Alborn,,47,-92,,,,T x h2o,mesocosm: IR heaters and altering water table level,,wetland,fen,Graminoids; some moss,,,,,,Jul-94,,,,,,,,,,,,,Weltzin et al. 2000 (Ecology)
Minnesota.fen,Minnesota,fen sourced from Alborn,,47,-92,,,,T x h2o,mesocosm: IR heaters and altering water table level,,wetland,fen,Graminoids; some moss,,,,,,Jul-94,,,,,,,,,,,,,Weltzin et al. 2000 (Ecology)
Miyaluo.NaturalForest,China,Miyaluo Experimental Forest of Lixian County; Eastern Tibetan Plateau,,31.58,102.58,3150,,,T,OTC,yearround,forest,forest,200-yr old spruce-fir forest,,,,,,8-Sep,,,,,,,,,5.85,,,,Xu et al. 2010
Miyaluo.Plantation,China,Miyaluo Experimental Forest of Lixian County; Eastern Tibetan Plateau,,31.58,102.58,3150,,,T,OTC,yearround,forest,forest plantation,65-yr old dragon spruce plantation,,,,,,8-Sep,,,,,,,,,6.19,,,,Xu et al. 2010
Mols,Denmark,Mols,VULCAN/CLIMOOR/INCREASE,56.38,10.95,58,8.7,758,T,IR reflective curtains,nighttime,shrubland,temperate; dry heathland,Calluna vulgaris; Deschampsia flexuosa,Sandy podzol,,,,,1998,500,3760,9,275,,0-45,1.5,1.39,4.7,23,Table1,organic layer bulk density: 0.21 g/cm3; organic layer depth: 0-2 cm,Beier et al. 2004. Ecosystems 7; some info from Schmidt et al. 2004 (Ecosystems)
Mongolia.grassland,Mongolia,Dalbay Valley,ILTER,51.02,100.76,1670,-4.5,295,T,OTC,summer,grassland,semi-arid steppe,(sedges:) Carex pediformis; (grasses:) Festuca lenensis; Helicotrichon schellianum; (forbs:) Potentilla acaulis; Aster alpinus; Artemisia commutata; (sub-shrubs:) Thymus gobicus,Typic Ustoll,loamy sand,,,,9-Jun,,2990,,280,,0-10,,1.28,5.3,,Table 1,south slope,Sharkhuu et al. 2013 (Biogeochemistry)
Mongolia.riparian,Mongolia,Dalbay Valley,ILTER,51.02,100.76,1670,-4.5,295,T,OTC,summer,shrubland,shrub-dominated riparian zone,(Trees:) Salix sp; (Forbs:) Artemisia tanacetifolia; Silene repense; Myosotis sylvatica; (grass:) Posa subfastifiata; Leymus chinensis; Agrostis mongolica; (sedges:) Carex melanocephala; other Carex sp.,Fluvent,sandy loam,,,,9-Jun,,5720,,500,,0-10,,0.72,5.5,,Table 1,valley bottom,Sharkhuu et al. 2013 (Biogeochemistry)
Mongolia.forest,Mongolia,Dalbay Valley,ILTER,51.02,100.76,1670,-4.5,295,T,OTC,summer,forest,,Siberian larch and Siberian pine,Cryept,sandy loam,,,,9-Jun,,3680,,160,,0-10,,0.88,4.7,,Table 1,north slope,Sharkhuu et al. 2013 (Biogeochemistry)
Moor,UK,Moor House National Nature Reserve,,54.65,2.45,550,5.8,2048,,,,wetland,,,,,,,,9-May,,,,,,,,,4.07,,,,Ward et al. 2013
Moor.allplants,UK,Moor House National Nature Reserve,,54.65,2.45,550,5.8,2048,,,,wetland,,,,,,,,9-May,,,,,,,,,4.07,,,all plants present,Ward et al. 2013
Moor.shrubs,UK,Moor House National Nature Reserve,,54.65,2.45,550,5.8,2048,,,,wetland,,,,,,,,9-May,,,,,,,,,4.07,,,shrub only (all other vegetation removed),Ward et al. 2013
Moor.graminoid,UK,Moor House National Nature Reserve,,54.65,2.45,550,5.8,2048,,,,wetland,,,,,,,,9-May,,,,,,,,,4.07,,,graminoid only (all other vegetation removed),Ward et al. 2013
Moor.bryophyte,UK,Moor House National Nature Reserve,,54.65,2.45,550,5.8,2048,,,,wetland,,,,,,,,9-May,,,,,,,,,4.07,,,bryophyte only (all other vegetation removed),Ward et al. 2013
Moor.shrub.graminoid,UK,Moor House National Nature Reserve,,54.65,2.45,550,5.8,2048,,,,wetland,,,,,,,,9-May,,,,,,,,,4.07,,,shrub & graminoid only (all other vegetation removed),Ward et al. 2013
Moor.shrub.bryophyte,UK,Moor House National Nature Reserve,,54.65,2.45,550,5.8,2048,,,,wetland,,,,,,,,9-May,,,,,,,,,4.07,,,shrub & bryophyte only (all other vegetation removed),Ward et al. 2013
Moor.graminoid.bryophyte,UK,Moor House National Nature Reserve,,54.65,2.45,550,5.8,2048,,,,wetland,,,,,,,,9-May,,,,,,,,,4.07,,,graminoid & bryophyte only (all other vegetation removed),Ward et al. 2013
Moor.bare,UK,Moor House National Nature Reserve,,54.65,2.45,550,5.8,2048,,,,wetland,,,,,,,,9-May,,,,,,,,,4.07,,,no plants present,Ward et al. 2013
Oldebroek,Netherlands,Oldebroek,VULCAN/CLIMOOR/INCREASE,52.4,5.9,25,8.3,1042,T,IR reflective curtains,nighttime,shrubland,temperate; dry heathland,Calluna vulgaris; Deschampsia flexuosa; Mollinia caerulea,Sandy podzol,,,,,May-99,584,6835,10,283,,0-45,3.5,1.41,3.8,20.3,Table1,organic layer bulk density: 0.11 g/cm3; organic layer depth: 0-2.5,Beier et al. 2004. Ecosystems 7; some info from Schmidt et al. 2004 (Ecosystems); SOM from SOC data in Rousk et al. 2013 (0-5 cm)
ORNL.maple,Tennessee,Oak Ridge National Laboratory Global Change Field Research Facility,,35.9,-83.35,,14.2,1322,T x co2,OTC & FACE,,forest,deciduous forest,Acer saccharum; Acer rubrum seedlings,mesic typic fragiudult,silt loam,,,,Apr-94,,,,,,,,,,,,Experiment ended September 1994,Wan et al. 2004 (New Phytologist)
ORNL.oldfield,Tennessee,OCCAM (Old-field Community; Climate; and Atmosphere Manipulation); Oak Ridge National Laboratory Global Change Field Research Facility,Old-field Community; Climate; and Atmosphere Manipulation(OCCAM) Experiment,35.9,-84.34,,14.2,1322,T x co2 x h2o,OTC & FACE,,grassland,oldfield,seedlings of: Plantago lanceolata; Andropogon virginicus; Festuca pratense; Dactylis glomerata; Solidago canadensis; Trifolium pratense; Lespedeza cuneata,mesic typic fragiudult,,,,22,3-Apr,,,,,,,,1.49,5.8,4.07,,,Wan et al. 2007/Garten et al. 2008
PHACE,Wyoming,PHACE; USDA-ARS High Plains Grassland Research Station,,41.17,-104.9,1930,10.8,384,T x co2,face and IR heaters,,grassland,prairie,Pascopyrum smithii (C3 grass); Bouteloua gracilis (C4 grass); Hesperostipa comata (C3 grass),Aridic Argiustoll (Mollisols),fine loam,62,23,15,2005,,2989,,256,64.4,0-15,,1.31,7.9,4.2,,start dates are different for CO2 and warming (Apr 2006 FACE; Apr 2007 warmign),Dijkstra et al. 2012; pH from Dijkstra et al. 2010
Plum,Massachusetts,Plum Island Ecosystem,,42.72,-70.85,0,10,1180,D; h2o; T,Rainout shelters,,wetland,salt marsh,Spartina alterniflora; S. patens; S. distichlis,,,salt marsh,,,6-Jun,,,,,,,,,,,,,Charles & Dukes (2009) Ecological Applications
Qingpu,China,Hydraulic Technique Popularization Station; Shanghai; Qingpu District,,32.2,121.12,,17.7,1044.7,T,IR heaters,,crop,rice-winter wheat crop rotation system,,,sandy loam,,,6.1,7-Jun,,,,,,,,1.68,6.1,2.2,,,Cheng et al 2013 (Ecol Res)
QTP.1,China,Qinghai-Tibet Plateau; Tibet,,34.73,92.89,4754,-5.3,269.7,T,OTC,,grassland,alpine meadow,Kobresia pygmaea; K. humilis,,,,,,8-Jul,125.3,950,4.9,93.275,,0-20,,,,,Table 1,"""site A"" - alpine meadow",Na et al. 2011
QTP.1.lowT,China,Qinghai-Tibet Plateau; Tibet,,34.73,92.89,4754,-5.3,269.7,T,OTC,,grassland,alpine meadow,Kobresia pygmaea; K. humilis,,,,,,8-Jul,125.3,950,4.9,93.275,,0-20,,,,,Table 1,"""site A"" - alpine meadow",Na et al. 2011
QTP.1.highT,China,Qinghai-Tibet Plateau; Tibet,,34.73,92.89,4754,-5.3,269.7,T,OTC,,grassland,alpine meadow,Kobresia pygmaea; K. humilis,,,,,,8-Jul,125.3,950,4.9,93.275,,0-20,,,,,Table 1,"""site A"" - alpine meadow",Na et al. 2011
QTP.2,China,Qinghai-Tibet Plateau; Tibet,,34.73,92.89,4763,-5.3,269.7,T,OTC,,wetland,alpine swamp meadow,Kobresia tibetica; Stipa aliena; Festuca,,,,,,8-Jul,363.1,3725,11.8,254.575,,0-20,,,,,Table 1,"""site S"" - swamp meadow",Na et al. 2011
QTP.2.lowT,China,Qinghai-Tibet Plateau; Tibet,,34.73,92.89,4763,-5.3,269.7,T,OTC,,wetland,alpine swamp meadow,Kobresia tibetica; Stipa aliena; Festuca,,,,,,8-Jul,363.1,3725,11.8,254.575,,0-20,,,,,Table 1,"""site S"" - swamp meadow",Na et al. 2011
QTP.2.highT,China,Qinghai-Tibet Plateau; Tibet,,34.73,92.89,4763,-5.3,269.7,T,OTC,,wetland,alpine swamp meadow,Kobresia tibetica; Stipa aliena; Festuca,,,,,,8-Jul,363.1,3725,11.8,254.575,,0-20,,,,,Table 1,"""site S"" - swamp meadow",Na et al. 2011
QTP.Kakagou,China,Qinghai-Tibet Plateau; Tibet; Songpan County,,42.85,103.55,3400,2.8,718,T x D,OTC; greenhouse plastic,,grassland,alpine meadow,,,,,,,9-May,,,,,,,,1.34,6.2,13.4,,6.01% C; assuming 45 % of OM is C; plots were clipped every 10 days to minimize plant impacts on soil microbial biomass,Shi et al. 2012
QTP.3,China,Qinghai-Tibet Plateau; near source of Yangtze river,,34.82,92.92,4635,-3.8,291,T,IR heaters,,grassland,alpine meadow,Kobresia capillifolia; Kobresia pygmaea; Carex moorcroftii,Mattic cryic cambisols,,96.87,3.1,0.03,10-Jul,,,,,,,,1.05,8.35,,,0-10 cm depth soil,Peng et al. 2015 (European J Soil Sci); Xue et al. 2015 (Ecology and Evolution)
QTP.4,China,Qinghai-Tibet Plateau,Beiluhe Observation and Research Station of the Chinese Academy of Science,34.85,92.93,0.933333333,-3.8,383,T,OTC,,grassland,alpine meadow,Kobresia robusta; Kobresia pygmaea; Carex moorcroftii,,,,,,fall 2008,,,,,,,,,,,,,Zhang et al. 2015 (European J Soil Sci)
RaMPs,Kansas,RaMPs (rainfall manipulation plots); Konza Prairie Biological Station,,39.08,-96.58,,13,835,T x D x freq,Rainout shelters & IR heaters,yearround,grassland,tall grass prairie,Mainly C4: Andropogon gerardii; Sorghastrum nutans; Panicum virgatum; and Sporobolus asper,,silty clay loam,,,,2003,,,,,,,,,,,,precip manipulations started 1998 (Phase I); but warming started in 2003 (Phase II),Fay et al. 2011
Rocky.1,Colorado,Rocky Mountain National Lab,,38.88,-107,2920,1.7,725,T,IR heaters,yearround,grassland,subalpine meadow/sage brush ecotone,xeric zone: Artemisia tridentata; Festuca thurberi; Delphinium nuttallianum,cryoboroll,,,,14,Jan-91,,,,,,,,0.4,6.3,,,In 1991 heaters had 15 W/m2 output; in 1993 more heaters and more intense radiation (22 W/m2),Shaw & Harte 2007
Rocky.2,Colorado,Rocky Mountain National Lab,,38.88,-107,2920,1.7,725,T,IR heaters,yearround,grassland,subalpine meadow/sage brush ecotone,mesic zone: Erythronium grandiflorum; Potentilla gracilis; Rhodiola integrifolia; Pentaphylloides floribunda,cryoboroll,,,,,Jan-91,,,,,,,,,,,,,Shaw & Harte 2007
Sardinia,Italy,Porte Conte - Capa Caccia,INCREASE,40.6,8.15,40,16.8,610,T,IR reflective curtains,nighttime,shrubland,Mediterranean shrubland,Cistus monspeliensis; Helichrysum italicum; Dorycnium pentaphyllum,Luvi and Leptosols (FAO),sandy loam,,,,1-Jun,,,,,,,,1.1,7.3,3.9,,approximate starting date spring 2002),Rousk et al. 2013; som and bulk density from Dato et al. 2009 (0-10 cm)
Scotland,UK,Sourhope Farm,,55.5,2.08,309,8,900,T,heating mesh,,grassland,temperate grassland,Grasses: Agrostis capillaris; Festuca ovina; forb: Gallium saxatile,,,,,,1-Jun,,,,,,,,,4.8,16.9,,Intact plant-soil turf transported experimental garden at CEH,Briones et al. 2009 (SBB)
Sevilleta,New Mexico,Sevilleta,Sevilleta LTER,34.36,-106.7,1615,13.2,250,T x h2o x N,,nighttime,grassland,desert grassland,Bouteloua eriopoda; bouteloua gracilis,,,,,,,,200,,20,,,0.2,,,,,,Collins et al. 2010 (J Arid Env)
Siberia,Siberia,Tazovskiy Peninsula,ITEX,67.9,74.9,,-8.8,370,T,OTC,yearround,tundra,lichen-rich dwarf shrub tundra (mean height of plants: 15 cm),mosses; lichen; Betula nana; Carex ensifolia; Salix glauca; Vaccinium vitis and Vaccinium uliginosum,Gleyic Cryosols,,,,,,,,,,,,,O-horizon: 0.3 gcm-3; A-horizon 0.8 g cm-3,,,,,Biasi et al. 2008
Sichuan.Abies,China,Maoxian Ecological Station of the Chinese Academy of Sciences; Sichuan Province,,31.7,103.9,1820,8.9,920,T,IR heaters,nighttime,forest,planted 4-yr old saplings,Abies faxoniana,Cambisol (FAO),,,,20,7-Apr,,,,,,,,0.887,5.55,17.3,,7.8% C; assuming 45 % of OM is C; plots were clipped every 10 days to minimize plant impacts on soil microbial biomass,Yin et al. 2012
Sichuan.Higher,China,National Nature Reserve; Pingwu County of Western Sichuan,,33,104,3500,2.85,813,T,OTC,,forest,mountain forest,Abies faxoniana,,,,,,7-Aug,,,,,,,,,,,,range was given for lat (32deg49-33deg02) and long (103deg55-104deg10),Xu et al. 2013
Sichuan.Lower,China,National Nature Reserve; Pingwu County of Western Sichuan,,33,104,3000,2.85,813,T,OTC,,forest,mountain forest,Abies faxoniana,,,,,,7-Aug,,,,,,,,,,,,range was given for lat (32deg49-33deg02) and long (103deg55-104deg10),Xu et al. 2013
Sichuan.Pinus,China,Maoxian Ecological Station of the Chinese Academy of Sciences; Sichuan Province,,31.7,103.9,1820,8.9,920,T,IR heaters,nighttime,forest,planted 4-yr old saplings,Pinus asperata,Cambisol (FAO),,,,20,7-Apr,,,,,,,,0.887,5.55,17.3,,7.8% C; assuming 45 % of OM is C; plots were clipped every 10 days to minimize plant impacts on soil microbial biomass,Yin et al. 2012
Spitsbergen.mesic,Norway,Adventdalen valley,FRAGILE,78.17,16.108,,-6.7,190,,,summer,tundra,mesic tundra,Alopecurus borealis (heath); Luzula confusa (wood rush); Bistorta vivipara (forb); Salix polaris (dwarf willow) and mosses,,,,,,,,,,,,,,0.739002933,,25.92592593,,bd and %om from 0-ca. 10 cm,Sjogersten et al. 2012. Ecosystems
Spitsbergen.wet,Norway,Adventdalen valley,FRAGILE,78.17,16.108,,-6.7,190,T x grazing,OTC (ITEX); geese grazing,yearround,tundra,wet meadow,mosses; Dupontia spp and Calamagrostis stricta (grasses); Equisetum arvense; Cardamine nymanii,,,,,,,,,,,,,,0.324535679,,31.44781145,,bd and %om from 0-ca. 10 cm,Sjogersten et al. 2012. Ecosystems
Stor,Sweden,Storflaket,,68.33,18.97,380,-0.3,311,N,NH4NO3,3 times/y,wetland,peatbog,Sphagnum fuscum; Spagnum balticum; Empetrum nigrum; Andromeda polifolia; Rubus chamaemorus; Eriophorum vaginatum,Histosol,,,,,summer 2006,,,,,,,0.2,0.1,,88.88888889,text,,Lund et al. 2009. Biogeosciences (Ndep); site info: Carter et al. 2012
Switzerland,Switzerland,Stillberg; Central Alps,,47.82,78.3,2180,1.4,1050,T,heating cables,growing season,forest,alpine treeline ecotone,Larix decidua; Pinus cembra; Pinus uncinata; Vaccinium myrtillus; Vaccinium uliginosum; Empetraum hermaphroditum. ,,,,,,6-Jun,,,,,,,,,4,,,,Hagedorn 2010
TasFACE,Tasmania,TasFACE,,-42.7,147.27,40,11.6,560,T x co2,,yearround,grassland,C3 and C4,,,,59.6,18.7,21.7,,,,,,,,,,5.863333333,,,,Pendall et al. 2011
TasFACE.C3,Tasmania,TasFACE,,-42.7,147.27,40,11.6,560,T x co2,,yearround,grassland,C3 grasses: Austrodanthonia caespitosa; A. carphoides; Austrostipa millis,,vertisol,,59.6,18.7,21.7,,,,,,,,,1.8,5.863333333,,,,Pendall et al. 2011
TasFACE.C4,Tasmania,TasFACE,,-42.7,147.27,40,11.6,560,T x co2,,yearround,grassland,C4 grass: Themeda triandra,,,,59.6,18.7,21.7,,,,,,,,,,5.863333333,,,,Pendall et al. 2011
